image_stem,title,subheadline,author,body
Ojo_2018-12-24_21,Fiestas Corporativas,La importancia de estas actividades por fin de año,Rosario Rojas,"Es común que las grandes y medianas empresas organicen fiestas de fin de año para sus colaboradores; no obstante es necesario que estas celebraciones no sean vistas como una obligación, sino como una herramienta para mejorar el clima organizacional de la empresa. Importancia: Este tipo de festejos son una excelente forma de generar confraternidad con los compañeros, creando redes formales e informales de comunicación. Por otro lado, los colaboradores podrán afianzar lazos con la empresa, forjando una identidad y dirección sólida. Esto permite que la empresa retenga el valioso talento por muchos más años, además de ganarse aliados ante posibles problemas en el futuro. ¿Cómo economizar?: Para realizar esta actividad, primero debe elaborar una planilla de gastos. Esto ayudará a vigilar el presupuesto y evitará un desborde. En estas planillas se debe incluir la descripción del servicio contratado, el valor cobrado, el método de pago y fecha en la que se hizo para una mejor organización. Segundo, debe comparar proveedores, debido a que cualquier variación en los precios podría ayudar a encontrar un buen servicio a bajo costo. Por último, los organizadores deben buscar una tendencia, ya sea minimalista o personalizada, que son las que menos gasto generan. Actividades: Las competencias en equipo, las dinámicas musicales, el popular intercambio de regalos y las rifas no requieren mucho gasto para la empresa y son divertidas entre los colaboradores. Discurso: Es el momento más importante de la fiesta, el líder de la empresa debe aprovechar la atención de su equipo y agradecer por el trabajo, pero sobre todo reconocer el esfuerzo que realizaron durante todo el año."
Ojo_2018-12-24_21,Reglas para el Espíritu,Bien de Salud,Dr. José Luis Pérez-Albela,"La Navidad es una época de celebración del espíritu, donde podemos resolver malestares pasados y reunirnos para festejar. Participar en donaciones de juguetes y prendas en la medida de lo posible. En caso de tener hijos, es importante que se les involucre en esta actividad. La donación es una forma de ayudar al prójimo y, además, de darle alegría a alguien más. Nos muestra cuán afortunados somos y cómo la Navidad significa mucho más que solo regalos. Tomar en cuenta que los regalos son una parte esencial si se realiza con cariño genuino. No regale por compromiso. Busquemos un regalo que sea de provecho para la vida. La Navidad celebra el nacimiento del niño Jesús y, por consecuencia, se festeja el inicio de la vida. Celebremos, entonces, la existencia del prójimo con muestras de cariño y consideración. Participar en eventos de voluntariado, visitar un hospital y compartir un momento de alegría con personas que pasan por malos momentos. Intentar hacer las paces y resolver conflictos pasados con amigos y familiares. Mantén intacta la imaginación de los niños, viva con ellos de manera creativa estas fechas, involucrándolos en la elaboración de la comida o decorando el árbol de Navidad. Leer libros a los más pequeños. Las aventuras del conocido Grinch, las leyendas de Papá Noel, las aventuras de los renos perdidos, entre otras, son fábulas importantes para la fecha; incluso es mejor que el adulto las lea y luego las narre. Añade parte de tu imaginación y vuelve a ser niño otra vez."
Ojo_2020-09-08_15,Cristiano Reaparece Hoy y Va por Su Gol 100,Con Portugal ante Suecia,NA,"Con el regreso de Cristiano Ronaldo, quien superó una lesión, Portugal enfrentará esta tarde (1:45 pm, hora peruana) a Suecia por la Liga de Naciones de la UEFA. El Maceireto a un tanto de llegar a las 100 anotaciones con su selección. Los portugueses son primeros con tres unidades y los suecos marchan terceros, pues no sumaron puntos hasta ahora."
Ojo_2020-09-08_15,Messi toca pelota solito en el Barza de Koeman,Entrena tras amago de irse,NA,"Por fin, Lionel Messi realizó ayer su primer entrenamiento con el Barcelona. Luego de días de mucha tensión en los que amenazó con dejar el club, el argentino se sumó a los trabajos del cuadro español. Ayer en la tarde y luego de dar negativo a la prueba molecular de COVID-19, el futbolista de 33 años llegó a la Ciutat Esportiva, sede del cuadro culé. Lo llamativo es que el atacante entrenó en solitario pues así lo obliga el protocolo sanitario. Por otro lado, en los próximos días se decidirá en Milán el futuro de su compatriota Lautaro Martínez. Los representantes del futbolista viajarán a Italia para buscar una oferta de salida y luego pedir fichar por el Barza. La llegada con cartas viene en la mano de Arturo Vidal ayudaría."
Ojo_2020-09-08_15,Lente Bocón,Italia da el golpe ante Holanda,NA,La selección italiana venció 1-0 a Holanda por la Liga de Naciones. Nicolo Barella marcó para la 'azzurra' en el primer tiempo.
Ojo_2020-09-08_15,Escándalo en los 'Leones' por Mujeres,Inglaterra,NA,Los futbolistas Phil Foden y Mason Greenwood fueron separados de la selección de Inglaterra luego de hacer ingresar a un par de mujeres a la concentración. Así ambos jugadores se perderán el duelo de hoy (1:45 pm) ante Dinamarca por la Liga de Naciones de la UEFA.
Ojo_2020-09-08_15,Boca Juniors Ya Tiene 22 Contagiados,Argentina,NA,"La preocupación de Miguel Ángel Russo es mayor pues se conoció que Boca Juniors tuvo cuatro nuevos casos positivos de COVID-19. Así, ya son 22 los deportistas contagiados y que se perderán el duelo ante Libertad de Paraguay por la Libertadores este 17 de setiembre."
Ojo_2020-09-08_15,Dato Curioso,¿Dónde jugará el peruano Jeisson Martínez?,NA,"El atacante nacional Jeisson Martínez, quien por el fútbol andaluz de España llegó a un acuerdo con el Almería de Armenia, actual bicampeón de esa liga."
Ojo_2020-09-08_15,La Columna de El Bocón,"'Comandante' Asadazo, Borran al Buque y el 'Jony' ya Debe Valer Oro...",Por: 'La Jetita',"De lo que se salvó el 'Comandante' ante los characatos. Tuvo suerte, porque pudo salvar un puntazo ante un equipo que jugaba a media máquina. Eso sí, hay varios que están en debe en la Raza Vikki. Si el zambo trompean de esta manera es más por culpa del rival que por virtudes propias. Dijo que un gol es regalo de la 'Patrona', que más parece gusto. Ahora dirán que el 'Pato' se cansó: ¿Pero no era aquel que cuando tiene harta chirimba para mequear con el trona fálico porque siempre ha sido siempre la que más vale la comida chatarrra...¡REXUXA! Mejor nos vamos con los cremonos, que le ganaron con un poco de susto al equipo huanuqueño, que la 'merfi' se desinfló como globo con el reinicio de la pelotita. Los hijos del 'Indio' andan chéveres y empilados. Aunque dicen que a uno con apellido parecido a buque lo 'borraron' por andar de amoriós con un chalaca y romper los protocolos... ¡ASÚ MARE! El que está como cazón es el 'Jony', que sigue mejeado y no lo para nadie. Todos se comieron ese “tacutacu” de que vale un millón de cocos porque hizo un doblete y ahora su cotización sigue subiendo como la espuma. A los de Air solo les queda aprovecharlo y aplaudirle fuerte, porque endiciembre se arranca sí o sí... ¡UY CURUJU! El 'ejote' estuvo haciendo boba en el Gallardo, pero se aburrió de lo lindo con el nivel del partido. En el segundo tiempo chapó sus cosas y se quitó para hacerle su 'richi' y justo los zambo anotaron dos goles... ¡JUAT! Mejor nos ponemos internacionales: el colocho James al final fue anunciado como fichaje estrella del Everton luego de hacer maleta en el Real Madrid. A pesar de ello, el chibolo Mbappé fue anunciado como baja en Francia, que hoy toca su pelota ante Croacia. El crack dio positivo por el bicho, así que tendrá que guardarse cuarentena días para volver al PSG... Ahora sí, soy fuga. CHAU, CHAU, CHAUUUUUU..."
Ojo_2022-04-06_2,Pueblo se levantó contra Castillo,Rechazaron inmovilización y marcharon al Congreso pidiendo que mandatario renuncie,Redacción Ojo,"En pleno toque de queda, miles de limeños salieron ayer a las calles, entre amas de casa, estudiantes y trabajadores de empresas enteras, para marchar y rechazar la inmovilización social obligatoria decretada para ayer, así como exigir la salida del presidente Pedro Castillo. Los manifestantes llevaban banderas y camisetas de la selección peruana, así como ollas, y se dirigieron desde distintos distritos de Lima, en su mayoría del centro y sur, hacia la sede del Congreso (Cercado de Lima), donde el mandatario tenía una reunión pactada a las 4:00 pm. La convocatoria fue realizada a través de las redes sociales, luego de que el mandatario ordenara, en mensaje a la nación emitido cerca de la medianoche del martes, la inmovilización social obligatoria en Lima y Callao para acatarse ayer, 5 de abril, de 2 a.m a 11:59 p.m. La medida, que tuvo una lluvia de críticas por parte de la ciudadanía, fue levantada por el mismo presidente ayer alrededor de las 5:20 p.m. durante su carta presentación en el Congreso. La marcha, que en su inicio, fue multitudinaria, se desarrolló de forma pacífica, terminó con enfrentamientos entre un reducido grupo de personas y un contingente policial, lo que dejó cuatro policías heridos en el rostro y la mano, entre ellos un comandante PNP. Hasta el cierre de esta nota, la asociación civil Transparencia Perú. En tanto, la Defensoría del Pueblo informó que fueron 11 los agentes heridos. CACEROLAZO. Los manifestantes se concentraron desde la 1 p.m. en la Plaza San Martín (Centro de Lima). Otro grupo decidió ir de frente al Legislativo, donde estaba el presidente. Todos gritaban a viva voz: 'Fuera Castillo, fuera'. La Policía formó varios cordones sanitarios cuando protestas se acercaron al Congreso. También intentó repelerla con bombas lacrimógenas. 'Necesitamos trabajar, el que da queda es innecesario', 'tengo cuenta y trabajadores que pagar', 'necesito dinero para dar de comer a mi familia', fueron algunos frases en los carteles de los marchantes. Sumado a ello, ayer al mediodías, varios policías en diferentes distritos de Lima realizaron un 'cacerolazo', que fue grabado en vídeos y fotos en redes sociales. En una sola voz, rechazaron el toque de queda y exigían la renuncia de Castillo. A eso de las 5:40 p.m., en plena avenida Abancay (Centro de Lima), un pequeño grupo de personas comenzó a enfrentarse violentamente con la Policía. Los manifestantes que marchaban pacíficamente se retiraron y se quedó un grupo reducido que quemó un kiosko, un tacho de basura y atacó con piedras."
Ojo_2022-04-06_2,Gamarra en contra de la inmovilización,Al Grano,NA,Los más de 32 mil microempresarios formales de Gamarra y los 100 mil trabajadores de este emporio rechazaron la medida de inmovilización ya que les genera pérdidas de S/ 20 millones.
Ojo_2022-04-06_2,Línea 1 del Metro y Metropolitano suspendidos,Al Grano,NA,"Tras la declaratoria de toque de queda, la Línea 1 del Metro de Lima y el Metropolitano no brindaron servicio. Varios trabajadores esenciales tomaron autos informales."
Ojo_2022-04-06_2,Restaurantes perdieron el 10% en ventas,Al Grano,NA,"Un día de paralización para los restaurantes significó la pérdida de un 10% en las ventas del mes, estimó Blanca Chávez, de la Asociación Peruana de Hoteles, Restaurantes y Afines (Ahora Perú)."
Ojo_2022-04-06_2,Ojo al Dato,NA,NA,La paralización de actividades impactó a pacientes de hospitales e instituciones privadas que requieren atención y otras citas. Hospitales de EsSalud solo atendieron emergencias y urgencias. Otros hospitales y clínicas hicieron lo mismo.
Ojo_2022-12-28_20,Refrán: Sabio es el que poco habla y mucho sabe,"Significado: La prudencia en la persona se manifiesta en la discreción en el hablar, con el objeto de no decir lo que pudiera comprometerle.",NA,NA
Ojo_2022-12-28_20,Beber líquidos e incontinencia urinaria,Comer para Vivir,"Por: Sara Abu-Sabbah, Nutricionista - Dietista CMP 3535, Magíster en Ciencias Básicas, Mención Medicina en Bioquímica","La incontinencia urinaria ocurre cuando se pierde la capacidad de controlar la vejiga. Sucede por diversas causas en hombres y mujeres en distintas etapas de la vida. El grado de incontinencia puede variar desde una pequeña pérdida al estornudar o toser hasta una necesidad urgente e imperiosa de llegar a tiempo al baño. Evitar beber líquidos es común en estos casos, pero puede traer como consecuencia cuatro problemas más. Por un lado, la deshidratación por no reponer los líquidos perdidos en el día; el estreñimiento por insuficiente agua en el colon que puede acompañarse de gases y malestar digestivo. Las infecciones urinarias debido a que en la vejiga los residuos a eliminar se concentran siendo un caldo de cultivo para bacterias y, finalmente, la insuficiencia de ingesta en la dieta incrementa el riesgo de formar cálculos renales. Es comprensible buscar medidas para controlar la incontinencia, pero estas no van por reducir los líquidos sino por recibir tratamiento médico especializado a tiempo."
Ojo_2023-07-20_20,Refrán: Matar pulgas a balazos,Significado: Se refiere a cuando una persona toma medidas exageradas para solucionar un problema pequeño o sencillo.,NA,NA
Ojo_2023-07-20_20,Apuntes en la resistencia a la insulina,Comer para Vivir,"Por: Sara Abu-Sabbah, Nutricionista - Dietista CNP 3535, Magíster en Ciencias Básicas, Mención Medicina en Bioquímica","La insulina es una hormona que fabrica el páncreas. Cada vez que nos alimentamos, se activan las alertas y se estimula la salida de la insulina para hacer su trabajo. Una vez digeridos los carbohidratos, se absorben y pasan a la circulación sanguínea. Al mismo tiempo, la insulina secretada por el páncreas fluye por el torrente sanguíneo para recoger el azúcar y distribuirlo en los órganos que lo necesitan. Pero cuando hay resistencia a la insulina, el proceso pierde efectividad, en la medida que la glucosa no llega a su destino, el páncreas estimula más salida de insulina. Esta alteración, con el tiempo, puede desencadenar una diabetes y favorecer el aumento de peso. Por ello, se requiere reducir los carbohidratos, incluyendo los procesados: la fruta, membrillo, arroz, etc. Se podría optar por reducir los carbohidratos a la mitad; sin embargo, no es lo único que se debe regular. Lo mejor es acudir al nutricionista para evaluar la dieta y, asimismo, realizar actividad física."
ojo_2024-05-25_4,Lima se congela,"El Servicio Nacional de Meteorología e Hidrología del Perú (Senamhi) reportó que los distritos ubicados en Lima este soportarán una temperatura de 12.3°C (Estación La Molina), la más baja del otoño y del año, hasta el momento.",NA,NA
ojo_2024-05-25_4,El precio del pollo y huevo sigue bajando,En mercados mayoristas y minoristas,NA,"Desde abril se ha registrado una mayor demanda de pollo en los centros de acopio de Lima debido a la reducción continua de su precio, según los reportes del Ministerio de Desarrollo Agrario y Riego (Midagri). El precio de este ave alcanzó ayer en la mañana un precio promedio de S/5.90 por kilogramo. En tanto, el huevo rosado se vendió a S/8.13 el kilogramo en los mercados mayoristas de Lima. Este precio también se redujo ya que el último jueves el kilogramo de huevo costó S/8.20. En los mercados minoristas el kilo de pollo se vende de entre 7 y 8 soles en promedio y el kilo de huevo rosado entre 9 y 10 soles."
ojo_2024-05-25_4,Carretera Central reabre tras 10 años,Usuarios esperan que el tránsito sea fluido,Redacción Ojo,"Ayer tres tramos de la avenida Nicolás Ayllón fueron reabiertos por la Autoridad de Transporte Urbano para Lima y Callao (ATU). Esto permitió la liberación de toda la Carretera Central luego de 10 años de paralización del tránsito por obras de la Línea 2 del Metro de Lima. 'Después de 10 años se reabre la Carretera Central en su totalidad. Los vecinos de Ate estamos contentos con esta reapertura. Esperamos que el tránsito sea más ágil ahora con estas vías recuperadas', declaró el alcalde de Ate, Oscar Ugarte. Fueron 8.8 km de esta importante vía que estuvieron cerrados por dicha obra en lo que se construyeron ocho estaciones y siete puntos de ventilación subterráneos. Para la liberación de la vía, personal de la ATU realizó diversas trabajos de adecuación vial, como la instalación de canalizadores de tráfico (jersey de concreto), señalización horizontal y vertical, reparación de pavimentos, limpieza de la zona y la habilitación de paraderos para el transporte público. 'La liberación de toda la Carretera Central es un hito importante porque permitirá que vecinos de la zona, conductores y pasajeros de vehículos de transporte público y privado transiten nuevamente por esta vía. Además, impulsará el comercio' destacó la presidenta de la ATU, Mayte Egoavil. Rutas. Con la reapertura total de la Carretera Central, 68 rutas de transporte público volvieron a circular por la citada vía. Entre las empresas de transporte público que volvieron se encuentran Santa Rosa de Huánuco S.A., Sol de Oro S.A.C., Transporte y Turismo Huayrá S.A., Empresa de Servicios Múltiples Nuevo Perú S.A., entre otras."
ojo_2024-05-25_4,Ojo al Dato,El pasado 20 de mayo se inició el cierre de 5 kilómetros de la Carretera Central por obras del Metro de Lima.,NA,NA
ojo_2024-05-25_4,Convierten un parque en hostal,Denuncian en SMP,NA,"Vecinos de la urbanización Villa Margarita, en San Martín de Porres, denunciaron que docenas de departamentos han convertido su parque en un hostal al paso, en el que tienen intimidad incluso cuando hay niños jugando. 'Están teniendo sexo a 5 metros de los juegos de unos niños de 10 años', denunció uno de los padres de familia. El espacio también es escenario de peleas, borracheras y fumadero de delincuentes, señalaron."
ojo_2024-05-25_4,"102,837 peruanos aún usan el DNI amarillo",Al Grano,NA,"Un total de 102,837 peruanos mayores de 18 años siguen usando el DNI amarillo con su foto infantil, informó el Registro Nacional de Identificación y Estado Civil (Reniec). Por lo menos 800 personas de 31 a 50 años aún tienen este documento."
ojo_2024-05-25_4,Más de 2.3 millones viven hacinados,Al Grano,NA,"A nivel nacional 2,327,094 peruanos vivían en condiciones de hacinamiento en el 2023, según el informe Evolución de la Pobreza Monetaria 2014-2023 elaborado por el INEI. La mayoría de ellos en zonas rurales."
ojo_2024-05-25_4,Gobierno amplía emergencia por dengue,Al Grano,NA,"El Gobierno prorrogó hasta el 29 de mayo y por un plazo de 60 días la emergencia sanitaria por la epidemia del dengue en 20 regiones. Hasta la segunda semana de mayo se han reportado 235,452 casos."
ojo_2025-03-02_1,Milagroso rescate de bebé,Bomberos demoraron 20 horas para sacar de pozo a Jesús Mateo de un año y ocho meses,NA,"Accidente se registró en la localidad de Orellana, provincia de Ucayali, en Loreto. Pequeño solo presentó deshidratación y rasguños producto de la caída."
ojo_2025-03-02_1,Alianza está imparable,Derrotó 2-1 a Cristal y se alista para enfrentar el martes a Deportes Iquique en Chile.,NA,NA
ojo_2025-03-02_1,Susana sorprende a Paco Bazán,Cantante de Corazón Serrano le regaló peluche gigante.,NA,NA
ojo_2025-03-02_1,Aumenta el robo de motos,"Marcas Bajaj Pulsar, Yamaha, Honda y AKT son las más buscadas por los delincuentes.",NA,NA
ojo_2025-03-02_1,Hoy 'La Yapita' trae full diversión,Gratis: suplemento de entretenimiento para toda la familia,NA,NA
Ojo_2025-11-25_16,Pizzero rumbo al primer año,NA,NA,"Mauricio Díaz Carrasco cumplió en un día su primer año de relación sentimental con la argentina Ana Sosa, pero señaló que la rubia no desea casarse tras las malas experiencias del empresario con sus matrimonios."
Ojo_2025-11-25_16,Fernando Armas feliz con sintonía de 'El Reventonazo',Toma con humildad cariño del público,NA,"El humorista Fernando Armas celebra que 'El Reventonazo de La Chola' se haya mantenido líder en sintonía durante casi todo el año; sin embargo, resaltó que toma la aceptación del público con humildad. 'Jamás nos hemos creído por el rating y no somos soberbios, sino somos personas que estamos contentos de que el público nos regale su audiencia bajo el liderazgo de Ernesto Pimentel', precisó Armas, quien anunció que se presentará en la celebración por los 45 años de trayectoria artística del productor Julio Zevallos, que se realizará este jueves en el Banco de Barranco, junto a Pamela Franco, Álvaro Rod, Zaperoko, Pintura Roja, Ernesto Pimentel y otros artistas."
Ojo_2025-11-25_16,Martín Farfán espera llamada de 'JB',Ante posible mudanza a panamericana,NA,"El cómico Martín Farfán dijo que desconoce el futuro del programa 'JB en ATV', ante la especulación de que Jorge Benavides habría firmado contrato con Panamericana Televisión para el 2026. 'No sé nada al respecto, nosotros seguimos con contrato con ATV. Veremos las novedades; se presentan más adelante, ojalá me llamen, ja, ja', dijo."
Ojo_2025-11-25_16,Samahara saca cara por Jesús Barco,Hija de Melissa Klug afirma que el futbolista es una excelente persona,Redacción Ojo,"Samahara Lobatón, hija de Melissa Klug, comentó que Jesús Barco es una excelente persona pero estuvo en el lugar equivocado, tras el ampay donde se le vio junto a otras futbolistas y unas chicas en una piscina. 'Estuvo en el lugar equivocado. Yo he hablado muchísimo con él, le dije lo que me pareció mal del asunto. A pesar de que recién habíamos hablado a los convivamos. Eso no quita que sea una excelente persona, yo lo quiero mucho', señaló Samahara. Además, comentó que Melissa Klug será quien debe pronunciarse respecto al futuro de esa relación. También dijo que ella confía enormemente en su pareja, Bryan Torres. 'Mi mamá en algún momento tomará sobre estas cosas. En cuanto al Bryan, él es lo adorable. Por primera vez el aniversario de su segunda estuvo en un lugar con otras compañeras y me ha videollamado para que yo vea alguna de las personas. Ninguna de la mano al fuego por él porque nadie sabe qué puede pasar; pero yo me echo a dormir tranquila, creoen él... así como mi mamá confía en Jesús'. Como dijo, es tuvo en el lugar equivocado. Finalmente, se refirió al video de su hermana Melissa con Jesús Barco en la bota de su cuarto. 'Es que mi hermana es un pequeño mosquita, él estaba donde vuéltas y quería entrar en el live y le borraron eso. Es que la relación de ellas siempre es con chacota', contó."
Ojo_2025-11-25_16,Ojo al Dato,"En octubre pasado, el programa 'Magaly Teve: La Firme' emitió un ampay de Barco junto a dos compañeras y unas chicas en una piscina en Huánuco.",NA,NA
Ojo_2025-11-25_16,Malas Lenguas,NA,NA,"Estas malas lenguas llegan con harto 'chimi chimi'... La modelo Isabella Ladera negó fuertes rumores de que estaría embarazada y posteó unas fotos en bikini junto a Hugo García, tomándose sol en Miami. Sheyla Rojas suda la gota gorda pues compartió su extenuante rutina de ejercicios como parte de su vida saludable… Michelle Soifer contó que en el pasado fue víctima de agresión por parte de una expareja, que hizo la denuncia policial pero nunca hubo sanción alguna. Melissa Paredes negó que tenga alguna diferencia con el 'Gato' Cuba, pues en las redes sociales senalan que mandó a su hija vestida de un color diferente a la paleta que debía usar en el desfile de Ale Venturo… Nos vamos, nos vemos mañana."
Ojo_2026-01-30_1,Rapado al estilo Bukele,'Monstruo' cumplirá 36 meses de prisión preventiva en la Base Naval del Callao,NA,"Estará recluido junto a Vladimiro Montesinos y terroristas Víctor Polay y 'Feliciano'. Erick Moreno Hernández expresa 'una peligrosa falta de remordimiento', dice psicóloga."
Ojo_2026-01-30_1,Los riesgos del aire acondicionado,NA,NA,NA
Ojo_2026-01-30_1,'Chinita' feliz con 'Foquita',OjoShow,NA,Xiomy jura que no hay boda porque Farfán aún no le ha dado anillo de compromiso.
Ojo_2026-01-30_1,Precio del pollo vuela,Metrolima,NA,Se vende a hasta 12 soles el kilo en mercados de la capital.
Ojo_2026-01-30_1,Mano Menezes se pone la bicolor,Crack,NA,Brasileño promete trabajar duro para llevarle al mundial.
